filename, language, TypeScript, JSON, comment, blank, total
c:\Brutus\BrutusNext\Src\Client\BrutusNextClient.ts, TypeScript, 28, 0, 39, 12, 79
c:\Brutus\BrutusNext\Src\Client\Class\Entities.ts, TypeScript, 26, 0, 41, 15, 82
c:\Brutus\BrutusNext\Src\Client\Gui\Body.ts, TypeScript, 34, 0, 10, 8, 52
c:\Brutus\BrutusNext\Src\Client\Gui\CenteredTitledWindow.ts, TypeScript, 14, 0, 6, 2, 22
c:\Brutus\BrutusNext\Src\Client\Gui\Component.ts, TypeScript, 135, 0, 34, 38, 207
c:\Brutus\BrutusNext\Src\Client\Gui\DivComponent.ts, TypeScript, 13, 0, 5, 2, 20
c:\Brutus\BrutusNext\Src\Client\Gui\Game\ChatWindow.ts, TypeScript, 11, 0, 10, 8, 29
c:\Brutus\BrutusNext\Src\Client\Gui\Game\CombatWindow.ts, TypeScript, 11, 0, 10, 8, 29
c:\Brutus\BrutusNext\Src\Client\Gui\Game\GroupWindow.ts, TypeScript, 11, 0, 10, 8, 29
c:\Brutus\BrutusNext\Src\Client\Gui\Game\MapWindow.ts, TypeScript, 14, 0, 11, 11, 36
c:\Brutus\BrutusNext\Src\Client\Gui\Game\RoomWindow.ts, TypeScript, 11, 0, 10, 8, 29
c:\Brutus\BrutusNext\Src\Client\Gui\Game\SpamWindow.ts, TypeScript, 11, 0, 10, 8, 29
c:\Brutus\BrutusNext\Src\Client\Gui\Gui.ts, TypeScript, 27, 0, 7, 7, 41
c:\Brutus\BrutusNext\Src\Client\Gui\Html.ts, TypeScript, 13, 0, 14, 5, 32
c:\Brutus\BrutusNext\Src\Client\Gui\Login\LoginWindow.ts, TypeScript, 12, 0, 71, 25, 108
c:\Brutus\BrutusNext\Src\Client\Gui\Map\MapCeneringContainer.ts, TypeScript, 24, 0, 15, 9, 48
c:\Brutus\BrutusNext\Src\Client\Gui\Map\MudMap.ts, TypeScript, 13, 0, 7, 4, 24
c:\Brutus\BrutusNext\Src\Client\Gui\SpanComponent.ts, TypeScript, 13, 0, 5, 2, 20
c:\Brutus\BrutusNext\Src\Client\Gui\Svg.ts, TypeScript, 14, 0, 5, 2, 21
c:\Brutus\BrutusNext\Src\Client\Gui\SvgComponent.ts, TypeScript, 47, 0, 7, 9, 63
c:\Brutus\BrutusNext\Src\Client\Gui\SvgG.ts, TypeScript, 14, 0, 5, 2, 21
c:\Brutus\BrutusNext\Src\Client\Gui\SvgImage.ts, TypeScript, 19, 0, 5, 4, 28
c:\Brutus\BrutusNext\Src\Client\Gui\Text.ts, TypeScript, 16, 0, 5, 3, 24
c:\Brutus\BrutusNext\Src\Client\Gui\TextColors.ts, TypeScript, 106, 0, 31, 29, 166
c:\Brutus\BrutusNext\Src\Client\Gui\TextLink.ts, TypeScript, 14, 0, 6, 2, 22
c:\Brutus\BrutusNext\Src\Client\Gui\TitleBar.ts, TypeScript, 17, 0, 48, 14, 79
c:\Brutus\BrutusNext\Src\Client\Gui\TitledWindow.ts, TypeScript, 20, 0, 108, 23, 151
c:\Brutus\BrutusNext\Src\Client\Gui\Window.ts, TypeScript, 28, 0, 26, 13, 67
c:\Brutus\BrutusNext\Src\Client\Gui\WindowContent.ts, TypeScript, 13, 0, 6, 2, 21
c:\Brutus\BrutusNext\Src\Client\Log\Syslog.ts, TypeScript, 11, 0, 11, 5, 27
c:\Brutus\BrutusNext\Src\Client\Net\Connection.ts, TypeScript, 129, 0, 306, 91, 526
c:\Brutus\BrutusNext\Src\Client\tsconfig.json, JSON, 0, 15, 31, 2, 48
c:\Brutus\BrutusNext\Src\Server\BrutusNextServer.ts, TypeScript, 27, 0, 32, 9, 68
c:\Brutus\BrutusNext\Src\Server\Class\Entities.ts, TypeScript, 47, 0, 24, 14, 85
c:\Brutus\BrutusNext\Src\Server\FileSystem\FileSystem.ts, TypeScript, 365, 0, 94, 94, 553
c:\Brutus\BrutusNext\Src\Server\FileSystem\SavingQueue.ts, TypeScript, 20, 0, 7, 8, 35
c:\Brutus\BrutusNext\Src\Server\Log\Syslog.ts, TypeScript, 44, 0, 19, 16, 79
c:\Brutus\BrutusNext\Src\Server\Net\Connection.ts, TypeScript, 131, 0, 189, 53, 373
c:\Brutus\BrutusNext\Src\Server\Net\Connections.ts, TypeScript, 25, 0, 45, 10, 80
c:\Brutus\BrutusNext\Src\Server\Net\HttpServer.ts, TypeScript, 71, 0, 18, 22, 111
c:\Brutus\BrutusNext\Src\Server\Net\HttpsServer.ts, TypeScript, 98, 0, 30, 27, 155
c:\Brutus\BrutusNext\Src\Server\Net\WebServer.ts, TypeScript, 30, 0, 61, 18, 109
c:\Brutus\BrutusNext\Src\Server\Net\WebSocketServer.ts, TypeScript, 104, 0, 31, 36, 171
c:\Brutus\BrutusNext\Src\Server\tsconfig.json, JSON, 0, 16, 16, 2, 34
c:\Brutus\BrutusNext\Src\Shared\Class\Attributable.ts, TypeScript, 57, 0, 40, 21, 118
c:\Brutus\BrutusNext\Src\Shared\Class\Attributes.ts, TypeScript, 7, 0, 9, 1, 17
c:\Brutus\BrutusNext\Src\Shared\Class\ClassFactory.ts, TypeScript, 108, 0, 84, 31, 223
c:\Brutus\BrutusNext\Src\Shared\Class\Entities.ts, TypeScript, 94, 0, 28, 32, 154
c:\Brutus\BrutusNext\Src\Shared\Class\Entity.ts, TypeScript, 109, 0, 80, 35, 224
c:\Brutus\BrutusNext\Src\Shared\Class\Flags.ts, TypeScript, 25, 0, 10, 8, 43
c:\Brutus\BrutusNext\Src\Shared\Class\JsonObject.ts, TypeScript, 51, 0, 17, 13, 81
c:\Brutus\BrutusNext\Src\Shared\Class\Serializable.ts, TypeScript, 777, 0, 248, 212, 1237
c:\Brutus\BrutusNext\Src\Shared\Log\Syslog.ts, TypeScript, 56, 0, 31, 16, 103
c:\Brutus\BrutusNext\Src\Shared\Log\SyslogUtils.ts, TypeScript, 16, 0, 12, 4, 32
c:\Brutus\BrutusNext\Src\Shared\Net\SocketUtils.ts, TypeScript, 32, 0, 7, 6, 45
c:\Brutus\BrutusNext\Src\Shared\Net\WebSocketEvent.ts, TypeScript, 179, 0, 22, 11, 212
c:\Brutus\BrutusNext\Src\Shared\Utils\ErrorUtils.ts, TypeScript, 23, 0, 8, 6, 37
c:\Brutus\BrutusNext\Src\Shared\Utils\ObjectUtils.ts, TypeScript, 24, 0, 6, 7, 37
c:\Brutus\BrutusNext\Src\Shared\Utils\Types.ts, TypeScript, 62, 0, 31, 25, 118
Total, -, 3451, 31, 2114, 1118, 6714